location_id,city,latitude_dd,longitude_dd,distance_to_road_m,average_hourly_traffic_intensity_number_per_h,notes,co_equipment,co_unit,co2_equipment,co2_unit,no_equipment,no_unit,no2_equipment,no2_unit,o3_equipment,o3_unit,pm10_equipment,pm10_unit,pm25_equipment,pm25_unit,pm1_equipment,pm1_unit,other_pm10_equipment,other_pm10_unit,other_pm25_equipment,other_pm25_unit,other_pm1_equipment,other_pm1_unit
ANT_REF_AL01,Antwerp,51.2362916,4.381149,285,10,"","","","","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_M802,Antwerp,51.2609726,4.4244433,25,375,"","","","","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R801,Antwerp,51.2096166,4.4317877,30,1461,"",APIT300,ppm,SickSidor,ppm,thermo42i,ppb,thermo42i,ppb,APIT400,ppb,FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R802,Antwerp,51.209441,4.4316401,9,1461,"",APIT300,ppm,"","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R803,Antwerp,51.2286443,4.4285231,30,47,"","","","","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R804,Antwerp,51.2062045,4.4419967,35,4794,traffic of R1; more traffic in vicinity (see description file); defined as ‘near ringroad’,"","","","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R805,Antwerp,51.2082553,4.4215574,5,488,"","","","","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R811,Antwerp,51.2521246,4.4913749,146,318,no traffic data at closest street at 60m,"","","","",thermo42i,ppb,thermo42i,ppb,APIT400,ppb,FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_REF_R817,Antwerp,51.1771992,4.4180006,21,530,"","","","","",thermo42i,ppb,thermo42i,ppb,"","",FIDAS200,µg/m≥,FIDAS200,µg/m≥,FIDAS200,µg/m≥,"","","","","",""
ANT_TRA_AMER,Antwerp,51.2085432,4.4004874,5,1300,this street has a main road and parallel road (for local traffic); the roadside of the parallel road is situated at 5 m from sampling point whereas the main road is situated at 12m.,"","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_DESG,Antwerp,51.1932369,4.4064473,20,864,distance of these sites is somewhat higher than prescribed 10 m distance,"","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_GROT,Antwerp,51.1881258,4.4276725,15,1512,distance of these sites is somewhat higher than prescribed 10 m distance,"","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_HALE,Antwerp,51.2247794,4.3779048,8,595,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_HAVE,Antwerp,51.241627,4.4079645,3,501,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_LEOP,Antwerp,51.213695,4.4070995,5,507,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_POTH,Antwerp,51.2245646,4.4365251,10,611,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_TRA_SING,Antwerp,51.193488,4.4237416,14,1272,distance of these sites is somewhat higher than prescribed 10 m distance,"","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_ANDR,Antwerp,51.2148326,4.396098,4,163,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_BEGI,Antwerp,51.2223492,4.4145291,55,"","no data on # of veh/h, closest road with available traffic data at 80 m (271 veh/h); also other busy streets nearby (Italiëlei)","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_BOEL,Antwerp,51.2018042,4.4529956,70,"","no data on # of veh/h at nearest road (=dead-end street) at 70m, and 106 veh/h at 115m,  ","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_BRED,Antwerp,51.2035804,4.3941697,6,158,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_GROT,Antwerp,51.1886208,4.4294263,20,"","no data on # of veh/h at nearest road (=dead-end street) at 20m, and 158 veh/h at 165m, and 1512 veh/h at 145 m, see ANT_TRA_GROT;   ","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_KIPD,Antwerp,51.2209126,4.4074488,3,249,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_LANG,Antwerp,51.2222708,4.4350843,10,176,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_MAER,Antwerp,51.2233396,4.4175632,3,102,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_PARK,Antwerp,51.2132756,4.4141951,50,268,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_PEST,Antwerp,51.2233453,4.43345,15,35,"","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_TURK,Antwerp,51.1957005,4.4413348,14,"","no data on # of veh/h at nearest road at 14 m, and 196 veh/h at 63 m","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_VINC,Antwerp,51.205419,4.4132866,20,"","no data on # of veh/h at nearest road at 20 m, nearest street with traffic data at 170 m with 41veh/h","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_WAPP,Antwerp,51.216993,4.4090337,50,246,"closest street with traffic data. The site is located in a pedestrian zone: however, some local traffic nearby at one side (no traffic data)","","","","","","","","","","","","","","","","","","","","","",""
ANT_URB_WITT,Antwerp,51.1898525,4.3863545,29,151,at similar distance (27m) of road with less traffic (64 veh/h),"","","","","","","","","","","","","","","","","","","","","",""
VITO, Antwerp, 51,19821, 5,03767,"","","","","","","","","","","","","","","","","","","","","","","","",""
OSL_REF_BJV,Oslo,59.90309,10.75841,20,1575,"","","","","",Serinus40,ppb,Serinus40,ppb,"","",FIDAS200S,µg/m≥,FIDAS200S,µg/m≥,"","","","","","","",""
OSL_REF_BRS,Oslo,59.91416,10.82472,10,354,"","","","","",APIT200,ppb,APIT200,ppb,"","",TEOM1405F-FDMS,µg/m≥,TEOM1405F-FDMS,µg/m≥,"","",GRIMM-EDM180,µg/m≥,GRIMM-EDM180,µg/m≥,"",""
OSL_REF_HJO,Oslo,59.91126,10.70397,4,3145,"","","","","",API200A,ppb,API200A,ppb,"","",TEOM1400AB,µg/m≥,TEOM1400AB,µg/m≥,"","","","","","","",""
OSL_REF_KVN,Oslo,59.9323,10.72454,5,617,"",Serinus30,ppm,"","",Serinus40,ppb,Serinus40,ppb,API400E,ppb,TEOM1405F-FDMS,µg/m≥,TEOM1405F-FDMS,µg/m≥,"","",FIDAS200S,µg/m≥,FIDAS200S,µg/m≥,FIDAS200S,µg/m≥
OSL_REF_SKY,Oslo,59.91976,10.68973,87,519,"","","","","","","","","","","",andersenFH62IR,µg/m≥,andersenFH62IR,µg/m≥,"","","","","","","",""
OSL_REF_SMS,Oslo,59.9325,10.66986,8,21,"45,900 ADT adjacent","","","","",APIT200,ppb,APIT200,ppb,"","",TEOM1405F-FDMS,µg/m≥,TEOM1405F-FDMS,µg/m≥,"","","","","","","",""
OSL_TRAF_AKP,Oslo,59.92807,10.7515,6,542,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_BTB,Oslo,59.90929,10.8141,5,363,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_CMG,Oslo,59.92724,10.77329,6,542,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_FRL,Oslo,59.91985,10.65099,1,454,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_GTB,Oslo,59.94593,10.71036,4,308,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_LIND,Oslo,59.93588,10.73511,7,617,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_STB,Oslo,59.9388,10.78027,5,396,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_STM,Oslo,59.91912,10.77471,9,246,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_STO,Oslo,59.94676,10.77364,8,583,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_SVN,Oslo,59.94746,10.73256,7,488,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_THP,Oslo,59.91859,10.70384,1,467,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_TSN,Oslo,59.95259,10.75134,12,375,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_TRAF_VINK,Oslo,59.92898,10.71701,15,254,"crossroad, second nearest  14,800 ADT","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_ARB,Oslo,59.91112,10.72993,63,279,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_DKH,Oslo,59.93632,10.70545,9,83,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_ESG,Oslo,59.9191,10.73608,8,21,"12,500 ADT within 200 m","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_FOL,Oslo,59.9077,10.68679,9,246,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_HSL,Oslo,59.92741,10.79606,5,1042,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_KVB,Oslo,59.90453,10.7862,5,42,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_NDL,Oslo,59.95283,10.76654,4,63,"","","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_SBT,Oslo,59.90575,10.75371,,"",Very low ADT,"","","","","","","","","","","","","","","","","","","","","",""
OSL_URB_SPN,Oslo,59.92314,10.76652,3,167,"","","","","","","","","","","","","","","","","","","","","","",""
OSL-URB-SGT,Oslo,59.94116,10.75084,4,271,"","","","","","","","","","","","","","","","","","","","","","",""
OSL-URB-JBV,Oslo,59.93046,10.67577,2,21,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_REF_CENT,Zagreb,45.810587,15.9850654,25,High,"","","","","","","",horibaAPNA370,ppb,horibaAPOA370,ppb,leckelSEQ47-50,µg/m≥,"","","","","","","","","",""
ZAG_REF_IMI,Zagreb,45.835305,15.9778218,37,High,"",horibaAPMA370,ppm,"","",horibaAPNA370,ppb,horibaAPNA370,ppb,horibaAPOA370,ppb,leckelSEQ47-50,µg/m≥,leckelSEQ47-50,µg/m≥,µg/m≥,"","","","","","",""
ZAG_REF_JAKU,Zagreb,45.7638051,16.0180235,20,"",Industrial site,"","","","","","","","","","","","","","","","","","","","","",""
ZAG_REF_JANK,Zagreb,45.8101832,15.879187,27,"",Industrial site,"","","","","","",horibaAPNA370,ppb,horibaAPOA370,ppb,leckelSEQ47-50,µg/m≥,leckelSEQ47-50,µg/m≥,"","","","","","","",""
ZAG_REF_PESC,Zagreb,45.8039651,16.0263065,72,High,"","","","","","","",horibaAPNA370,ppb,horibaAPOA370,ppb,leckelSEQ47-50,µg/m≥,"","","","","","","","","",""
ZAG_REF_ZAG1,Zagreb,45.8003916,15.9733119,27,High,"",horibaAPMA370,ppm,"","","","",horibaAPNA370,ppb,"","",andersenFH62IR,µg/m≥,"","","","","","","","","",""
ZAG_REF_ZAG2,Zagreb,45.8232593,16.0346778,18,High,"",horibaAPMA370,ppm,"","","","",horibaAPNA370,ppb,"","",andersenFH62IR,µg/m≥,"","","","","","","","","",""
ZAG_REF_ZAG3,Zagreb,45.7646964,16.0078921,41,High,"",horibaAPMA370,ppm,"","","","",horibaAPNA370,ppb,horibaAPOA370,ppb,andersenFH62IR,µg/m≥,"","","","","","","","","",""
ZAG_RUR_BLIZ,Zagreb,45.8768845,15.9768016,42,Low,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_RUR_BREZ,Zagreb,45.717234,15.887239,71,Low,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_TRA_CRNO,Zagreb,45.8113477,15.9445581,57,High,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_URB_JARU,Zagreb,45.7836873,15.9266563,55,Low to medium,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_URB_KVAT,Zagreb,45.815243,15.999859,20,Low to medium,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_URB_REME,Zagreb,45.7699122,15.946733,34,Low to medium,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_RUR_SESV,Zagreb,45.8217804,16.1262319,60,low,"","","","","","","","","","","","","","","","","","","","","","",""
ZAG_TRA_SIGE,Zagreb,45.7729033,15.980557,34,High,Industrial site,"","","","","","","","","","","","","","","","","","","","","",""
Ispra,Ispra,45.81469,8.63587,10,Absent,Semi-rural,horibaAPMA370,ppm,PicarroG2401,ppm,thermo42i,ppb,thermo42i,ppb,thermo49i,ppb,TEOM1405F-FDMS,µg/m≥,"","","","","","","","","",""
